errorcode,errortype,errormessage,msgtype,exceptiontype
0001,APPERROR:CLIENT_ALREADY_EXISTS,The client with ID: test1 is already registered,register,system
0002,OAUTH2-PROVIDER:INVALID_CONFIGURATION,The provided parameters are invalid,register,system
0003,OAUTH2-PROVIDER:INVALID_TOKEN,The token to revoke is invalid.,register,system
0004,OAUTH2-PROVIDER:TOKEN_UNAUTHORIZED,The token is invalid or there are missing or wrong fields set in the validation.,register,system
0005,OAUTH2-PROVIDER:OAUTH_SERVER_SECURITY,OAuth2 Provider module throws this error when is unable to identify its reason.,register,system
0006,DB:QUERY_EXECUTION,INSERT has more target columns than expressions,createerror,system
0007,DB:BAD_SQL_SYNTAX,The provided SQL query contains invalid syntax.,createerror,system
0008,DB:CANNOT_LOAD_DRIVER,Database Connector cannot load the JDBC driver.,createerror,system
0009,DB:CANNOT_REACH,Database Connector cannot establish a connection with the RDBMS.,createerror,system
0010,DB:CONNECTIVITY,Any of several possible connectivity issues\, including poorly configured connections\, lack of a database response while waiting for results or fetching rows\, loss of database connection\, and so on.,createerror,system
0011,DB:INVALID_DATABASE,The connection to the RDBMS is established but the database doesn't exist.,createerror,system
0012,DB:INVALID_CREDENTIALS,The database rejects the provided credentials.,createerror,system
0013,DB:RETRY_EXHAUSTED,All reconnection attempts failed.,createerror,system
